source,metaedge,target
Gene::8766,Gr>G,Gene::29082
Gene::51517,GpBP,Biological_Process::GO:0006605
Anatomy::UBERON:0000178,AdG,Gene::3303
Anatomy::UBERON:0001231,AeG,Gene::54514
Anatomy::UBERON:0000974,AeG,Gene::251
Gene::2936,Gr>G,Gene::7296
Gene::3654,GpBP,Biological_Process::GO:0051347
Gene::23607,GpBP,Biological_Process::GO:0009057
Anatomy::UBERON:0000991,AeG,Gene::268
Compound::DB00482,CcSE,Side_Effect::C0162429
Gene::127124,GpBP,Biological_Process::GO:0055082
Gene::3273,GpBP,Biological_Process::GO:0045861
Disease::DOID:2986,DdG,Gene::718
Anatomy::UBERON:0001891,AeG,Gene::9168
Anatomy::UBERON:0000996,AuG,Gene::54438
Gene::159296,Gr>G,Gene::22827
Gene::55697,GpPW,Pathway::PC7_6462
Gene::7316,GiG,Gene::4734
Gene::10519,GpBP,Biological_Process::GO:0007283
Compound::DB08916,CdG,Gene::23210
Gene::55191,GpMF,Molecular_Function::GO:0016810
Anatomy::UBERON:0000002,AuG,Gene::2887
Anatomy::UBERON:0002037,AeG,Gene::3187
Gene::6726,GpCC,Cellular_Component::GO:0005789
Gene::23369,Gr>G,Gene::23512
Gene::84823,Gr>G,Gene::11197
Gene::389816,GpCC,Cellular_Component::GO:1902495
Gene::112858,Gr>G,Gene::26520
Gene::5184,Gr>G,Gene::5018
Gene::7311,GpBP,Biological_Process::GO:0098780
Gene::200424,GpBP,Biological_Process::GO:0032259
Disease::DOID:9206,DdG,Gene::7422
Gene::27040,GpBP,Biological_Process::GO:0045576
Gene::23305,Gr>G,Gene::22827
Gene::4082,GpBP,Biological_Process::GO:0031344
Anatomy::UBERON:0000922,AeG,Gene::5080
Anatomy::UBERON:0001044,AdG,Gene::55658
Gene::386724,GcG,Gene::4692
Gene::2548,Gr>G,Gene::22827
Gene::4931,Gr>G,Gene::6253
Compound::DB01234,CuG,Gene::866
Anatomy::UBERON:0003126,AeG,Gene::29997
Anatomy::UBERON:0002030,AdG,Gene::5447
Gene::5718,Gr>G,Gene::5688
Compound::DB00188,CuG,Gene::5243
Anatomy::UBERON:0002046,AdG,Gene::780
Anatomy::UBERON:0002450,AeG,Gene::1936
Anatomy::UBERON:0001891,AdG,Gene::140876
Gene::10464,GpBP,Biological_Process::GO:0070925
Anatomy::UBERON:0001295,AdG,Gene::3107
Anatomy::UBERON:0000165,AeG,Gene::3872
Gene::481,GpBP,Biological_Process::GO:0036376
Anatomy::UBERON:0000473,AuG,Gene::23210
Gene::5824,Gr>G,Gene::5830
Gene::641,GpBP,Biological_Process::GO:0006259
Gene::2101,GpMF,Molecular_Function::GO:0044212
Gene::5111,GiG,Gene::5984
Gene::5595,GpCC,Cellular_Component::GO:0005924
Anatomy::UBERON:0002367,AdG,Gene::8349
Compound::DB00811,CcSE,Side_Effect::C0010200
Gene::10675,GpBP,Biological_Process::GO:0006790
Gene::10217,GcG,Gene::144124
Gene::6923,GpPW,Pathway::PC7_4365
Gene::3775,Gr>G,Gene::54438
Gene::3484,GiG,Gene::3486
Gene::23510,GcG,Gene::283948
Gene::8841,GpPW,Pathway::PC7_7465
Anatomy::UBERON:0000995,AeG,Gene::9741
Gene::128344,GpCC,Cellular_Component::GO:0005813
Compound::DB08911,CuG,Gene::1026
Gene::51121,GpBP,Biological_Process::GO:0061024
Compound::DB01198,CcSE,Side_Effect::C0012833
Gene::8208,Gr>G,Gene::4931
Gene::1013,GpBP,Biological_Process::GO:0034330
Gene::10016,GcG,Gene::84467
Gene::390067,GcG,Gene::54510
Anatomy::UBERON:0000997,AuG,Gene::5565
Anatomy::UBERON:0000029,AeG,Gene::10970
Anatomy::UBERON:0002369,AdG,Gene::27242
Gene::10127,Gr>G,Gene::7018
Gene::9308,Gr>G,Gene::23536
Gene::9270,Gr>G,Gene::831
Gene::8313,Gr>G,Gene::26520
Gene::2621,GpBP,Biological_Process::GO:0045861
Gene::6310,GiG,Gene::23126
Anatomy::UBERON:0000057,AdG,Gene::25865
Gene::142910,GpBP,Biological_Process::GO:0001934
Gene::10718,GpPW,Pathway::PC7_7444
Gene::3843,GpBP,Biological_Process::GO:0044744
Gene::190,Gr>G,Gene::4282
Gene::5709,Gr>G,Gene::5713
Anatomy::UBERON:0000995,AdG,Gene::7431
Compound::DB01065,CdG,Gene::1576
Gene::5111,Gr>G,Gene::5927
Gene::3237,GpBP,Biological_Process::GO:0009790
Gene::5594,GpBP,Biological_Process::GO:0032868
Gene::1869,Gr>G,Gene::7103
Anatomy::UBERON:0001744,AeG,Gene::7412
Anatomy::UBERON:0001893,AdG,Gene::2897
Gene::7855,Gr>G,Gene::146909
Gene::5588,GpBP,Biological_Process::GO:0016567
Gene::2785,GpCC,Cellular_Component::GO:0098562
Gene::2114,GpPW,Pathway::PC7_6072
Gene::6615,GpBP,Biological_Process::GO:0042633
Anatomy::UBERON:0002349,AeG,Gene::55353
Compound::DB01100,CuG,Gene::3638
Gene::7189,GpBP,Biological_Process::GO:0045860
Gene::10095,GpBP,Biological_Process::GO:0043254
Gene::3294,Gr>G,Gene::2131
Gene::3656,GpPW,Pathway::PC7_8295
Gene::6477,Gr>G,Gene::4830
Anatomy::UBERON:0002073,AeG,Gene::3858
Disease::DOID:10283,DaG,Gene::7124
Anatomy::UBERON:0001135,AeG,Gene::2353
Disease::DOID:3571,DlA,Anatomy::UBERON:0001064
Gene::6633,GpBP,Biological_Process::GO:0000377
Gene::10399,GpBP,Biological_Process::GO:0051345
Disease::DOID:0050742,DdG,Gene::1139
Gene::2615,Gr>G,Gene::23338
Gene::9572,GpBP,Biological_Process::GO:0006366
Gene::25,Gr>G,Gene::26520
Gene::57526,GcG,Gene::10489
Gene::8484,GcG,Gene::30827
Gene::256364,Gr>G,Gene::79073
Compound::DB01072,CcSE,Side_Effect::C0027765
Gene::408,GpCC,Cellular_Component::GO:0098794
Gene::84451,Gr>G,Gene::9133
Gene::5564,GcG,Gene::30827
Gene::81,GpCC,Cellular_Component::GO:0005912
Gene::7718,Gr>G,Gene::4830
Anatomy::UBERON:0001891,AuG,Gene::7461
Gene::5414,GiG,Gene::7316
Gene::259286,GpBP,Biological_Process::GO:0050913
Compound::DB01030,CdG,Gene::54541
Compound::DB00557,CcSE,Side_Effect::C0013144
Compound::DB01204,CuG,Gene::1662
Gene::5565,GiG,Gene::388677
Gene::29888,Gr>G,Gene::22827
Gene::183,Gr>G,Gene::29082
Gene::1386,GiG,Gene::7975
Gene::259,GpCC,Cellular_Component::GO:0072562
Gene::5036,GpCC,Cellular_Component::GO:0005730
Anatomy::UBERON:0003126,AdG,Gene::8324
Gene::2668,GpBP,Biological_Process::GO:0072164
Compound::DB00281,CcSE,Side_Effect::C0039070
Gene::134526,GpMF,Molecular_Function::GO:0052689
Anatomy::UBERON:0001013,AdG,Gene::5094
Gene::64782,GiG,Gene::386676
Gene::55526,GpBP,Biological_Process::GO:0055114
Gene::4582,GpBP,Biological_Process::GO:0006493
Gene::51015,Gr>G,Gene::4303
Gene::5495,GpBP,Biological_Process::GO:0006470
Compound::DB00181,CcSE,Side_Effect::C2830004
Anatomy::UBERON:0002367,AuG,Gene::8349
Gene::4099,GpCC,Cellular_Component::GO:0043209
Gene::5590,GpBP,Biological_Process::GO:1901653
Gene::2149,GcG,Gene::9656
Gene::3995,Gr>G,Gene::3028
Gene::9377,GpBP,Biological_Process::GO:0034220
Anatomy::UBERON:0004535,AeG,Gene::78987
Gene::7021,GcG,Gene::5454
Anatomy::UBERON:0001264,AeG,Gene::6750
Gene::64900,GpBP,Biological_Process::GO:0046486
Gene::56603,GpBP,Biological_Process::GO:0019953
Gene::1153,Gr>G,Gene::5092
Gene::3516,GpPW,Pathway::PC7_4116
Gene::5711,GpBP,Biological_Process::GO:0044265
Anatomy::UBERON:0000992,AuG,Gene::5216
Anatomy::UBERON:0001831,AeG,Gene::6590
Anatomy::UBERON:0000955,AuG,Gene::5663
Gene::8829,GpBP,Biological_Process::GO:0050919
Anatomy::UBERON:0002082,AdG,Gene::2274
Compound::DB00222,CcSE,Side_Effect::C0021141
Gene::5721,Gr>G,Gene::5691
Gene::207,GpBP,Biological_Process::GO:0006073
Gene::2876,GpBP,Biological_Process::GO:0098869
Gene::55486,GpBP,Biological_Process::GO:0043069
Gene::10198,Gr>G,Gene::7103
Compound::DB00790,CcSE,Side_Effect::C0042963
Gene::23063,GpCC,Cellular_Component::GO:0005694
Gene::7570,Gr>G,Gene::22827
Gene::23326,GpCC,Cellular_Component::GO:0031248
Gene::6326,GpBP,Biological_Process::GO:0008366
Gene::10987,GiG,Gene::51547
Gene::9465,GiG,Gene::10142
Gene::83463,Gr>G,Gene::4830
Gene::30812,GpMF,Molecular_Function::GO:0001012
Anatomy::UBERON:0002185,AdG,Gene::2887
Gene::733,GpBP,Biological_Process::GO:0002684
Gene::51160,Gr>G,Gene::29082
Gene::374291,GpBP,Biological_Process::GO:0034622
Gene::51186,GpMF,Molecular_Function::GO:0019904
Gene::142680,GpBP,Biological_Process::GO:0015672
Gene::22832,Gr>G,Gene::22827
Gene::54463,GpBP,Biological_Process::GO:0043069
Gene::23028,GpCC,Cellular_Component::GO:0005694
Gene::163486,GpBP,Biological_Process::GO:0051345
Gene::23408,Gr>G,Gene::55699
Anatomy::UBERON:0002371,AeG,Gene::9556
Anatomy::UBERON:0001911,AeG,Gene::6876
Gene::995,GiG,Gene::7532
Gene::84941,GpBP,Biological_Process::GO:0070486
Compound::DB00947,CuG,Gene::55143
Gene::7535,GpBP,Biological_Process::GO:0098602
Gene::3329,Gr>G,Gene::8050
Anatomy::UBERON:0002048,AuG,Gene::6387
Anatomy::UBERON:0001232,AeG,Gene::7369
Gene::375323,GcG,Gene::9092
Gene::253260,GpPW,Pathway::PC7_3326
Gene::3145,GpMF,Molecular_Function::GO:0016829
Gene::55655,GpBP,Biological_Process::GO:1904951
Gene::4927,GpBP,Biological_Process::GO:0035821
Gene::23635,Gr>G,Gene::1066
Compound::DB00294,CcSE,Side_Effect::C0014743
Gene::30851,GpBP,Biological_Process::GO:0051345
Gene::1832,GpBP,Biological_Process::GO:0031424
Gene::498,GpBP,Biological_Process::GO:0098655
Gene::8456,GpBP,Biological_Process::GO:0043588
Gene::3784,GpMF,Molecular_Function::GO:0015077
Gene::3512,GpBP,Biological_Process::GO:0042742
Gene::5257,Gr>G,Gene::22827
Gene::79728,GcG,Gene::147841
Anatomy::UBERON:0001044,AeG,Gene::4267
Gene::1017,GpCC,Cellular_Component::GO:0005815
Gene::79723,GpMF,Molecular_Function::GO:0016279
Gene::3965,GpBP,Biological_Process::GO:0002694
Compound::DB00947,CdG,Gene::1026
Gene::133396,GpBP,Biological_Process::GO:0009617
Anatomy::UBERON:0001004,AeG,Gene::594857
Gene::8301,GpBP,Biological_Process::GO:0006897
Compound::DB00755,CcSE,Side_Effect::C0035085
Gene::3978,Gr>G,Gene::7298
Gene::5743,GpCC,Cellular_Component::GO:0042175
Gene::24138,Gr>G,Gene::200081
Gene::8202,Gr>G,Gene::51021
Gene::7043,GpBP,Biological_Process::GO:0070848
Gene::3551,GpBP,Biological_Process::GO:0010921
Compound::DB00869,CcSE,Side_Effect::C3665347
Anatomy::UBERON:0001896,AdG,Gene::401115
Anatomy::UBERON:0001296,AdG,Gene::79960
Gene::51343,GpPW,Pathway::PC7_1672
Anatomy::UBERON:0002107,AdG,Gene::230
Gene::51466,GpBP,Biological_Process::GO:0030029
Gene::9743,GiG,Gene::25
Anatomy::UBERON:0001225,AuG,Gene::5066
Compound::DB00643,CuG,Gene::11073
Gene::79924,GpBP,Biological_Process::GO:0001525
Gene::223,Gr>G,Gene::4830
Gene::1840,GiG,Gene::7316
Gene::8573,GiG,Gene::55914
Gene::7764,Gr>G,Gene::26520
Gene::6975,GpCC,Cellular_Component::GO:0005578
Gene::79443,GcG,Gene::161394
Gene::64344,GpBP,Biological_Process::GO:0001666
Gene::7726,GiG,Gene::81603
Gene::6622,GiG,Gene::653604
Gene::7748,Gr>G,Gene::388650
Gene::140710,GpBP,Biological_Process::GO:0010565
Gene::51382,GpBP,Biological_Process::GO:1901653
Gene::2146,Gr>G,Gene::9133
Compound::DB01136,CcSE,Side_Effect::C0011991
Disease::DOID:263,DuG,Gene::4524
Gene::2274,Gr>G,Gene::4482
Anatomy::UBERON:0002028,AeG,Gene::1267
Gene::5378,Gr>G,Gene::22827
Compound::DB00997,CdG,Gene::4668
Anatomy::UBERON:0000043,AeG,Gene::9556
Gene::6514,GpPW,Pathway::PC7_8339
Compound::DB00286,CcSE,Side_Effect::C0042109
Anatomy::UBERON:0002081,AeG,Gene::22808
Gene::3565,GpBP,Biological_Process::GO:0002694
Gene::10667,GiG,Gene::386681
Gene::3418,GpBP,Biological_Process::GO:0015980
Gene::2752,GiG,Gene::7316
Gene::8877,GpBP,Biological_Process::GO:0006693
Gene::3688,GiG,Gene::3678
Gene::100885850,GcG,Gene::54494
Gene::10681,GpBP,Biological_Process::GO:0008277
Gene::5468,GpBP,Biological_Process::GO:0033993
Gene::5921,Gr>G,Gene::22827
Gene::1649,GpBP,Biological_Process::GO:0000122
Gene::1978,Gr>G,Gene::5092
Gene::27185,GiG,Gene::84062
Gene::22978,Gr>G,Gene::4830
Gene::6853,GpCC,Cellular_Component::GO:0098793
Gene::2688,GpBP,Biological_Process::GO:0060416
Gene::6364,Gr>G,Gene::22827
Gene::6418,GpBP,Biological_Process::GO:0034728
Gene::5507,GpBP,Biological_Process::GO:0000271
Gene::5295,GiG,Gene::5296
Gene::10499,GpBP,Biological_Process::GO:0018205
Gene::81930,GpBP,Biological_Process::GO:0048285
Gene::7422,GpBP,Biological_Process::GO:2000147
Anatomy::UBERON:0000007,AdG,Gene::51148
Compound::DB00590,CcSE,Side_Effect::C0231218
Compound::DB00862,CcSE,Side_Effect::C0042109
Pharmacologic_Class::N0000000233,PCiC,Compound::DB08865
Compound::DB00602,CdG,Gene::10112
Gene::6773,Gr>G,Gene::9738
Gene::9104,GpMF,Molecular_Function::GO:0005509
Gene::56996,GcG,Gene::430
Gene::6809,GpBP,Biological_Process::GO:0046903
Compound::DB00800,CcSE,Side_Effect::C0042963
Gene::4320,GpBP,Biological_Process::GO:0044243
Gene::1407,GpBP,Biological_Process::GO:0042752
Gene::554313,GpBP,Biological_Process::GO:1903706
Compound::DB00242,CbG,Gene::1026
Gene::1600,GpBP,Biological_Process::GO:0030900
Gene::374,GiG,Gene::386675
Gene::54386,GiG,Gene::7013
Gene::4846,GpBP,Biological_Process::GO:0072593
Gene::8473,GpBP,Biological_Process::GO:0018393
Gene::54576,GpMF,Molecular_Function::GO:0008194
Gene::9349,GpBP,Biological_Process::GO:0016482
Compound::DB00206,CdG,Gene::10112
Gene::55335,GcG,Gene::83786
Gene::4762,GcG,Gene::3229
Gene::9733,GpBP,Biological_Process::GO:0006333
Gene::54659,GpBP,Biological_Process::GO:0006063
Gene::8454,GiG,Gene::6500
Compound::DB01268,CcSE,Side_Effect::C0018799
Gene::1268,GpPW,Pathway::PC7_7439
Compound::DB01034,CuG,Gene::54541
Gene::8879,Gr>G,Gene::7103
Gene::9021,GpBP,Biological_Process::GO:1904892
Gene::6546,GpBP,Biological_Process::GO:0007507
Gene::2647,Gr>G,Gene::10239
Gene::7301,GpBP,Biological_Process::GO:0048609
Gene::4595,GpBP,Biological_Process::GO:0006281
Gene::59307,GpBP,Biological_Process::GO:0032088
Compound::DB00481,CuG,Gene::891
Gene::1139,GpMF,Molecular_Function::GO:0070405
Gene::5478,Gr>G,Gene::22827
Compound::DB00396,CbG,Gene::1588
Gene::5154,GpBP,Biological_Process::GO:0032147
Gene::4149,Gr>G,Gene::6461
Compound::DB01024,CuG,Gene::4609
Compound::DB00188,CdG,Gene::5243
Gene::6387,Gr>G,Gene::1232
Gene::10417,GpBP,Biological_Process::GO:0009617
Anatomy::UBERON:0002240,AuG,Gene::171177
Gene::10014,GiG,Gene::9759
Gene::91942,GpBP,Biological_Process::GO:0010257
Gene::23566,GpCC,Cellular_Component::GO:0043005
Gene::6780,GiG,Gene::10987
Gene::5947,Gr>G,Gene::26520
Gene::778,GpBP,Biological_Process::GO:0006816
Gene::3945,Gr>G,Gene::1738
Gene::874,Gr>G,Gene::54438
Gene::483,GpCC,Cellular_Component::GO:0098797
Gene::925,GpBP,Biological_Process::GO:0002250
Gene::332,GpBP,Biological_Process::GO:0051346
Gene::9472,GpMF,Molecular_Function::GO:0044325
Compound::DB01013,CcSE,Side_Effect::C0263449
Gene::2161,GpBP,Biological_Process::GO:0050878
Compound::DB00559,CcSE,Side_Effect::C0011991
Gene::57085,GiG,Gene::116173
Gene::3791,GpCC,Cellular_Component::GO:0009986
Disease::DOID:0050741,DaG,Gene::1312
Gene::4199,Gr>G,Gene::22827
Gene::9695,Gr>G,Gene::2697
Gene::6257,GpBP,Biological_Process::GO:0006366
Compound::DB00156,CbG,Gene::586
Disease::DOID:10534,DaG,Gene::7040
Gene::2783,Gr>G,Gene::55970
Gene::63979,GpBP,Biological_Process::GO:2000779
Gene::26137,Gr>G,Gene::1066
Gene::26278,GpCC,Cellular_Component::GO:0043025
Gene::43847,GpBP,Biological_Process::GO:0044703
Anatomy::UBERON:0001723,AeG,Gene::3664
Gene::5894,Gr>G,Gene::4282
Gene::79817,GcG,Gene::8303
Gene::369,GcG,Gene::7574
Gene::6217,Gr>G,Gene::1066
Gene::65266,GcG,Gene::65125
Anatomy::UBERON:0002030,AeG,Gene::4069
Compound::DB01004,CbG,Gene::55867
Compound::DB01142,CbG,Gene::5243
Gene::3553,GpBP,Biological_Process::GO:0071345
Compound::DB00635,CcSE,Side_Effect::C0085570
Compound::DB00717,CuG,Gene::367
Gene::26230,GpBP,Biological_Process::GO:0051345
Gene::23384,GcG,Gene::7574
Gene::80025,Gr>G,Gene::1738
Gene::672,GpPW,Pathway::PC7_2950
Gene::168620,GpBP,Biological_Process::GO:0051153
Gene::6672,GpBP,Biological_Process::GO:0016567
Anatomy::UBERON:0001132,AeG,Gene::10987
Gene::22943,GpBP,Biological_Process::GO:0016055
Gene::375,GpMF,Molecular_Function::GO:0019001
Anatomy::UBERON:0002037,AuG,Gene::54941
Gene::5803,GpBP,Biological_Process::GO:0016311
Gene::5337,Gr>G,Gene::22827
Gene::4939,GpBP,Biological_Process::GO:0043207
Gene::3554,Gr>G,Gene::4830
Gene::478,GpMF,Molecular_Function::GO:0016820
Gene::10791,GpCC,Cellular_Component::GO:0005768
Anatomy::UBERON:0001675,AuG,Gene::9900
Gene::4901,GpMF,Molecular_Function::GO:0000977
Gene::22796,Gr>G,Gene::10466
Disease::DOID:1324,DuG,Gene::23583
Anatomy::UBERON:0002384,AeG,Gene::214
Gene::9469,GpMF,Molecular_Function::GO:0016782
Gene::80320,GcG,Gene::50835
Anatomy::UBERON:0002030,AuG,Gene::5447
Gene::90381,GpBP,Biological_Process::GO:0045786
Gene::1213,GpPW,Pathway::PC7_5307
Gene::1459,Gr>G,Gene::22827
Compound::DB08912,CdG,Gene::4609
Gene::80321,GiG,Gene::200081
Gene::5304,GpMF,Molecular_Function::GO:0032403
Compound::DB01007,CbG,Gene::1571
Gene::5590,GpCC,Cellular_Component::GO:0099568
Compound::DB01179,CdG,Gene::8061
Gene::4090,Gr>G,Gene::22827
Gene::554,GpBP,Biological_Process::GO:0030804
Anatomy::UBERON:0001184,AeG,Gene::2153
Compound::DB01195,CcSE,Side_Effect::C0020517
Gene::648,Gr>G,Gene::4331
Gene::9517,GpCC,Cellular_Component::GO:0042175
Gene::4842,GpPW,Pathway::PC7_4449
Disease::DOID:8893,DdG,Gene::3557
Gene::5308,GpBP,Biological_Process::GO:0061061
Gene::577,GpBP,Biological_Process::GO:0043547
Gene::8784,Gr>G,Gene::22827
Gene::27130,GcG,Gene::22888
Gene::249,GpBP,Biological_Process::GO:0060348
Gene::144455,GpPW,Pathway::WP2361_r84551
Gene::81034,Gr>G,Gene::29082
Gene::1807,GpBP,Biological_Process::GO:0046700
Gene::5925,GiG,Gene::5934
Gene::1345,Gr>G,Gene::6461
Gene::83394,GpMF,Molecular_Function::GO:0019901
Gene::6574,GpMF,Molecular_Function::GO:0022891
Gene::2002,GcG,Gene::146198
Compound::DB01065,CbG,Gene::1576
Compound::DB00943,CcSE,Side_Effect::C0027497
Gene::6117,Gr>G,Gene::23649
Gene::1017,GpBP,Biological_Process::GO:1903047
Gene::3399,Gr>G,Gene::6304
Compound::DB01420,CdG,Gene::5241
Compound::DB01254,CcSE,Side_Effect::C0023530
Gene::5691,GpBP,Biological_Process::GO:0032990
Gene::4131,GiG,Gene::23710
Gene::1775,GpBP,Biological_Process::GO:0008544
Gene::11344,Gr>G,Gene::8574
Anatomy::UBERON:0002037,AdG,Gene::10610
Gene::7283,GpCC,Cellular_Component::GO:0005815
Gene::8850,Gr>G,Gene::25966
Gene::5891,Gr>G,Gene::10493
Gene::6591,Gr>G,Gene::25966
Gene::3396,GiG,Gene::55832
Gene::55558,GcG,Gene::8829
Gene::1020,GpCC,Cellular_Component::GO:0036477
Gene::55239,Gr>G,Gene::4830
Gene::361,GpCC,Cellular_Component::GO:0045177
Gene::4869,GpBP,Biological_Process::GO:0034622
Gene::3265,GpBP,Biological_Process::GO:0043547
Gene::55165,Gr>G,Gene::259266
Gene::9455,GpMF,Molecular_Function::GO:0005198
Gene::81619,GpBP,Biological_Process::GO:0090150
Gene::10392,GpBP,Biological_Process::GO:0043207
Gene::23198,GpBP,Biological_Process::GO:0007283
Gene::6810,Gr>G,Gene::6811
Gene::5916,GpBP,Biological_Process::GO:0006366
Gene::386724,Gr>G,Gene::1066
Gene::337,GpBP,Biological_Process::GO:0046464
